Assembly	OriginalName	ProtName	Annot	Specie.x	Length	Type	Compo.*	Compo.A	Compo.C	Compo.D	Compo.E	Compo.F	Compo.G	Compo.H	Compo.I	Compo.K	Compo.L	Compo.M	Compo.N	Compo.P	Compo.Q	Compo.R	Compo.S	Compo.T	Compo.V	Compo.W	Compo.Y	Prop.Tiny	Prop.Small	Prop.Aliphatic	Prop.Aromatic	Prop.Non.polar	Prop.Polar	Prop.Charged	Prop.Basic	Prop.Acidic	Pi	Taxid	Specie.y	assembly_level	CC1
GCA_000015805.1	181486_Pyrobaculum^calidifontis^JCM^11548@ABO09237.1$GCA_000015805.1	ABO09237.1		0	57	0	0	5	0	2	3	3	3	0	2	12	3	3	0	2	4	2	2	3	4	0	4	0.228070175438596	0.368421052631579	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	181486	Pyrobaculum^calidifontis^JCM^11548	Complete Genome	1
GCA_000015945.1	2280_Staphylothermus^marinus^F1@ABN69492.1$GCA_000015945.1	ABN69492.1		0	56	0	0	5	0	2	5	5	3	0	4	13	3	1	0	2	0	2	1	3	4	0	3	0.214285714285714	0.357142857142857	0.196428571428571	0.142857142857143	0.535714285714286	0.464285714285714	0.392857142857143	0.267857142857143	0.125	9.88930383129411	2280	Staphylothermus^marinus^F1	Complete Genome	1
GCA_000016385.1	121277_Pyrobaculum^arsenaticum^DSM^13514@ABP50423.1$GCA_000016385.1	ABP50423.1		0	56	0	0	5	0	2	3	3	3	0	2	11	2	3	0	2	2	3	3	3	5	0	4	0.25	0.410714285714286	0.160714285714286	0.125	0.517857142857143	0.482142857142857	0.339285714285714	0.25	0.0892857142857143	10.0541874805299	121277	Pyrobaculum^arsenaticum^DSM^13514	Complete Genome	1
GCA_000016385.1	121277_Pyrobaculum^arsenaticum^DSM^13514@ABP51197.1$GCA_000016385.1	ABP51197.1		0	57	0	0	5	0	2	3	3	3	0	2	12	3	3	0	2	4	2	2	3	4	0	4	0.228070175438596	0.368421052631579	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	121277	Pyrobaculum^arsenaticum^DSM^13514	Complete Genome	1
GCA_000016385.1	121277_Pyrobaculum^arsenaticum^DSM^13514@ABP51266.1$GCA_000016385.1	ABP51266.1		0	57	0	0	5	0	2	3	3	3	0	2	12	3	3	0	2	4	2	2	3	4	0	4	0.228070175438596	0.368421052631579	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	121277	Pyrobaculum^arsenaticum^DSM^13514	Complete Genome	1
GCA_000018465.1	338192_Nitrosopumilus^maritimus^SCM1@ABX12629.1$GCA_000018465.1	ABX12629.1		0	47	0	0	3	4	1	1	1	7	0	5	6	0	2	1	3	0	4	1	5	1	0	2	0.425531914893617	0.553191489361702	0.127659574468085	0.0638297872340425	0.595744680851064	0.404255319148936	0.25531914893617	0.212765957446809	0.0425531914893617	9.87751280491453	338192	Nitrosopumilus^maritimus^SCM1	Complete Genome	1
GCA_000018465.1	338192_Nitrosopumilus^maritimus^SCM1@ABX12793.1$GCA_000018465.1	ABX12793.1		0	77	0	0	4	3	2	5	4	6	0	5	11	4	3	2	3	2	4	8	5	3	1	2	0.337662337662338	0.467532467532468	0.155844155844156	0.0909090909090909	0.493506493506494	0.506493506493506	0.285714285714286	0.194805194805195	0.0909090909090909	9.7182969717295	338192	Nitrosopumilus^maritimus^SCM1	Complete Genome	1
GCA_000018465.1	338192_Nitrosopumilus^maritimus^SCM1@ABX13309.1$GCA_000018465.1	ABX13309.1		0	53	0	0	2	4	2	4	2	4	0	3	8	1	3	2	3	0	5	0	5	4	0	1	0.283018867924528	0.490566037735849	0.150943396226415	0.0566037735849057	0.509433962264151	0.490566037735849	0.358490566037736	0.245283018867925	0.113207547169811	9.63850541386441	338192	Nitrosopumilus^maritimus^SCM1	Complete Genome	1
GCA_000018465.1	338192_Nitrosopumilus^maritimus^SCM1@ABX13487.1$GCA_000018465.1	ABX13487.1		0	581	0	0	34	5	31	120	7	15	5	37	45	59	3	10	66	37	18	42	22	17	2	6	0.203098106712565	0.416523235800344	0.194492254733219	0.0344234079173838	0.432013769363167	0.567986230636833	0.376936316695353	0.117039586919105	0.259896729776248	4.28169098223472	338192	Nitrosopumilus^maritimus^SCM1	Complete Genome	1
GCA_000019805.1	70771_Pyrobaculum^neutrophilum^V24Sta@ACB39228.1$GCA_000019805.1	ACB39228.1		0	72	0	0	9	1	1	6	6	3	2	3	4	3	2	0	6	0	8	3	5	6	0	4	0.291666666666667	0.472222222222222	0.166666666666667	0.166666666666667	0.597222222222222	0.402777777777778	0.291666666666667	0.194444444444444	0.0972222222222222	9.79866842714572	70771	Pyrobaculum^neutrophilum^V24Sta	Complete Genome	1
GCA_000019805.1	70771_Pyrobaculum^neutrophilum^V24Sta@ACB40459.1$GCA_000019805.1	ACB40459.1		0	62	0	0	5	0	2	3	3	3	0	4	12	3	3	0	2	5	3	2	4	3	0	5	0.225806451612903	0.338709677419355	0.161290322580645	0.129032258064516	0.5	0.5	0.32258064516129	0.241935483870968	0.0806451612903226	10.0478443594024	70771	Pyrobaculum^neutrophilum^V24Sta	Complete Genome	1
GCA_000019805.1	70771_Pyrobaculum^neutrophilum^V24Sta@ACB40552.1$GCA_000019805.1	ACB40552.1		0	64	0	0	6	1	2	3	3	4	0	4	12	3	3	0	3	4	3	2	4	3	0	4	0.265625	0.390625	0.15625	0.109375	0.53125	0.46875	0.3125	0.234375	0.078125	10.0065699660735	70771	Pyrobaculum^neutrophilum^V24Sta	Complete Genome	1
GCA_000019805.1	70771_Pyrobaculum^neutrophilum^V24Sta@ACB40799.1$GCA_000019805.1	ACB40799.1		0	55	0	0	5	0	2	3	3	3	1	4	12	2	2	0	2	2	2	1	4	3	0	4	0.236363636363636	0.363636363636364	0.163636363636364	0.145454545454545	0.509090909090909	0.490909090909091	0.363636363636364	0.272727272727273	0.0909090909090909	9.99797549273204	70771	Pyrobaculum^neutrophilum^V24Sta	Complete Genome	1
GCA_000020905.1	94694_Desulfurococcus^amylolyticus^1221n@ACL10570.1$GCA_000020905.1	ACL10570.1		0	60	0	0	5	0	2	5	5	5	0	3	13	3	2	0	3	1	2	2	2	4	0	3	0.233333333333333	0.383333333333333	0.166666666666667	0.133333333333333	0.55	0.45	0.366666666666667	0.25	0.116666666666667	9.88930308403811	94694	Desulfurococcus^amylolyticus^1221n	Complete Genome	1
GCA_000092185.1	54254_Thermosphaera^aggregans^DSM^11486@ADG90547.1$GCA_000092185.1	ADG90547.1		0	54	0	0	5	0	2	4	5	2	0	4	13	2	1	1	2	0	2	1	3	4	0	3	0.203703703703704	0.37037037037037	0.185185185185185	0.148148148148148	0.518518518518518	0.481481481481481	0.388888888888889	0.277777777777778	0.111111111111111	9.99796543570713	54254	Thermosphaera^aggregans^DSM^11486	Complete Genome	1
GCA_000092465.1	84599_Staphylothermus^hellenicus^DSM^12710@ADI31552.1$GCA_000092465.1	ADI31552.1		0	56	0	0	5	0	2	5	5	3	0	5	12	3	1	0	2	0	3	1	3	3	0	3	0.214285714285714	0.339285714285714	0.196428571428571	0.142857142857143	0.535714285714286	0.464285714285714	0.392857142857143	0.267857142857143	0.125	9.93913656975361	84599	Staphylothermus^hellenicus^DSM^12710	Complete Genome	1
GCA_000186365.1	2275_Desulfurococcus^mucosus^DSM^2162@ADV65244.1$GCA_000186365.1	ADV65244.1		0	55	0	0	5	0	2	4	5	3	0	3	12	3	1	0	3	1	2	2	3	3	0	3	0.236363636363636	0.381818181818182	0.163636363636364	0.145454545454545	0.527272727272727	0.472727272727273	0.363636363636364	0.254545454545455	0.109090909090909	9.94012855242822	2275	Desulfurococcus^mucosus^DSM^2162	Complete Genome	1
GCA_000193375.1	184117_Thermoproteus^uzoniensis^768-20@AEA12364.1$GCA_000193375.1	AEA12364.1		0	67	0	0	6	0	2	4	4	4	0	6	11	2	3	3	2	2	2	2	7	3	1	3	0.283582089552239	0.432835820895522	0.164179104477612	0.119402985074627	0.507462686567164	0.492537313432836	0.283582089552239	0.194029850746269	0.0895522388059701	9.8733489748828	184117	Thermoproteus^uzoniensis^768-20	Complete Genome	1
GCA_000193375.1	184117_Thermoproteus^uzoniensis^768-20@AEA13100.1$GCA_000193375.1	AEA13100.1		0	77	0	0	6	1	2	4	5	3	2	8	11	3	3	4	3	3	2	2	5	4	1	5	0.220779220779221	0.38961038961039	0.194805194805195	0.168831168831169	0.545454545454545	0.454545454545455	0.272727272727273	0.194805194805195	0.0779220779220779	9.67841178341408	184117	Thermoproteus^uzoniensis^768-20	Complete Genome	1
GCA_000193375.1	184117_Thermoproteus^uzoniensis^768-20@AEA13576.1$GCA_000193375.1	AEA13576.1		0	55	0	0	5	0	2	3	3	3	0	4	10	2	2	1	3	2	2	1	5	3	1	3	0.254545454545455	0.418181818181818	0.163636363636364	0.127272727272727	0.527272727272727	0.472727272727273	0.309090909090909	0.218181818181818	0.0909090909090909	9.93093316750017	184117	Thermoproteus^uzoniensis^768-20	Complete Genome	1
GCA_000193375.1	184117_Thermoproteus^uzoniensis^768-20@AEA13624.1$GCA_000193375.1	AEA13624.1		0	73	0	0	7	1	2	4	3	4	0	4	5	4	1	3	4	1	9	6	4	6	0	5	0.301369863013699	0.506849315068493	0.191780821917808	0.10958904109589	0.534246575342466	0.465753424657534	0.273972602739726	0.191780821917808	0.0821917808219178	10.1644025447986	184117	Thermoproteus^uzoniensis^768-20	Complete Genome	1
GCA_000200715.1	46770_Cenarchaeum^symbiosum^A@ABK78104.1$GCA_000200715.1	ABK78104.1		0	47	0	0	3	4	0	3	1	4	0	2	8	1	1	3	3	0	4	2	2	5	0	1	0.319148936170213	0.553191489361702	0.170212765957447	0.0425531914893617	0.531914893617021	0.468085106382979	0.319148936170213	0.25531914893617	0.0638297872340425	9.97108036999201	46770	Cenarchaeum^symbiosum^A	Chromosome	1
GCA_000204585.1	1007084_Candidatus^Nitrosarchaeum^limnium^SFB1@EGG41331.1$GCA_000204585.1	EGG41331.1		0	47	0	0	3	4	1	3	1	4	0	1	9	1	2	2	3	0	4	0	3	5	0	1	0.297872340425532	0.531914893617021	0.148936170212766	0.0425531914893617	0.531914893617021	0.468085106382979	0.361702127659574	0.276595744680851	0.0851063829787234	9.89851486994695	1007084	Candidatus^Nitrosarchaeum^limnium^SFB1	Chromosome	1
GCA_000204585.1	1007084_Candidatus^Nitrosarchaeum^limnium^SFB1@EGG42376.1$GCA_000204585.1	EGG42376.1		0	76	0	0	3	3	3	2	3	4	2	7	13	5	3	3	3	1	2	9	5	2	1	2	0.315789473684211	0.460526315789474	0.184210526315789	0.105263157894737	0.473684210526316	0.526315789473684	0.289473684210526	0.223684210526316	0.0657894736842105	9.86539665942595	1007084	Candidatus^Nitrosarchaeum^limnium^SFB1	Chromosome	1
GCA_000220175.2	1088740_Nitrosarchaeum^koreense^MY1@EGP93549.1$GCA_000220175.2	EGP93549.1		0	47	0	0	3	4	2	1	1	6	0	4	7	1	2	1	3	0	4	1	4	1	0	2	0.382978723404255	0.531914893617021	0.127659574468085	0.0638297872340425	0.574468085106383	0.425531914893617	0.297872340425532	0.234042553191489	0.0638297872340425	9.8069174636792	1088740	Nitrosarchaeum^koreense^MY1	Contig	1
GCA_000220175.2	1088740_Nitrosarchaeum^koreense^MY1@EGP93794.1$GCA_000220175.2	EGP93794.1		0	76	0	0	3	3	3	2	3	4	1	4	14	6	5	3	3	0	2	7	7	2	1	3	0.315789473684211	0.460526315789474	0.157894736842105	0.105263157894737	0.486842105263158	0.513157894736842	0.289473684210526	0.223684210526316	0.0657894736842105	9.88025748460392	1088740	Nitrosarchaeum^koreense^MY1	Contig	1
GCA_000220175.2	1088740_Nitrosarchaeum^koreense^MY1@EGP94302.1$GCA_000220175.2	EGP94302.1		0	47	0	0	3	4	1	2	1	4	0	1	8	1	2	2	3	1	4	0	4	5	0	1	0.319148936170213	0.553191489361702	0.148936170212766	0.0425531914893617	0.531914893617021	0.468085106382979	0.319148936170213	0.25531914893617	0.0638297872340425	9.97108007104713	1088740	Nitrosarchaeum^koreense^MY1	Contig	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@AGBE01000083.1-3$GCA_000230485.1	AGBE01000083.1-3		0	48	0	1	3	4	1	1	1	6	0	5	5	0	2	1	4	0	4	2	5	1	0	2	0.416666666666667	0.5625	0.125	0.0625	0.583333333333333	0.395833333333333	0.229166666666667	0.1875	0.0416666666666667	9.7628738357239	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@JH165314.1-20$GCA_000230485.1	JH165314.1-20		0	48	0	1	4	4	1	1	1	6	0	5	5	0	2	1	4	0	4	2	4	1	0	2	0.416666666666667	0.5625	0.125	0.0625	0.604166666666667	0.375	0.229166666666667	0.1875	0.0416666666666667	9.7628738357239	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@JH165323.1-3$GCA_000230485.1	JH165323.1-3		0	51	0	1	4	4	2	2	1	4	0	2	8	1	2	2	4	1	4	0	3	5	0	1	0.294117647058824	0.549019607843137	0.156862745098039	0.0392156862745098	0.549019607843137	0.431372549019608	0.313725490196078	0.235294117647059	0.0784313725490196	9.8069147017669	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@AGBE01000545.1-1$GCA_000230485.1	AGBE01000545.1-1		0	51	0	1	4	4	2	2	1	4	0	2	8	1	2	2	4	1	4	0	3	5	0	1	0.294117647058824	0.549019607843137	0.156862745098039	0.0392156862745098	0.549019607843137	0.431372549019608	0.313725490196078	0.235294117647059	0.0784313725490196	9.8069147017669	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@JH165374.1-41$GCA_000230485.1	JH165374.1-41		0	78	0	1	3	3	2	4	4	4	0	6	10	4	3	4	3	3	6	9	3	3	1	2	0.282051282051282	0.435897435897436	0.166666666666667	0.0897435897435897	0.461538461538462	0.525641025641026	0.282051282051282	0.205128205128205	0.0769230769230769	10.0281895215097	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@AGBE01001121.1-2$GCA_000230485.1	AGBE01001121.1-2		0	48	0	1	3	4	1	1	1	6	0	5	5	0	2	1	4	0	4	2	5	1	0	2	0.416666666666667	0.5625	0.125	0.0625	0.583333333333333	0.395833333333333	0.229166666666667	0.1875	0.0416666666666667	9.7628738357239	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@JH165484.1-13$GCA_000230485.1	JH165484.1-13		0	78	0	1	4	3	1	5	4	4	1	5	11	4	3	5	3	3	4	8	3	3	1	2	0.282051282051282	0.435897435897436	0.153846153846154	0.102564102564103	0.461538461538462	0.525641025641026	0.282051282051282	0.205128205128205	0.0769230769230769	9.84457762993193	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@JH165505.1-27$GCA_000230485.1	JH165505.1-27		0	78	0	1	4	3	1	5	3	4	1	5	11	5	3	5	3	3	4	7	4	3	1	2	0.282051282051282	0.435897435897436	0.166666666666667	0.0897435897435897	0.461538461538462	0.525641025641026	0.282051282051282	0.205128205128205	0.0769230769230769	9.84457762993193	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@JH165508.1-40$GCA_000230485.1	JH165508.1-40		0	51	0	1	4	4	2	2	1	3	0	3	8	1	2	2	4	1	3	0	4	5	0	1	0.294117647058824	0.549019607843137	0.176470588235294	0.0392156862745098	0.549019607843137	0.431372549019608	0.294117647058824	0.215686274509804	0.0784313725490196	9.63999313350353	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@AGBE01000212.1-1$GCA_000230485.1	AGBE01000212.1-1		0	56	0	1	4	4	2	2	2	4	0	3	8	2	3	3	4	1	4	0	3	5	0	1	0.267857142857143	0.517857142857143	0.178571428571429	0.0535714285714286	0.571428571428571	0.410714285714286	0.285714285714286	0.214285714285714	0.0714285714285714	9.8069147017669	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@AGBE01001033.1-2$GCA_000230485.1	AGBE01001033.1-2		0	51	0	1	4	4	2	2	1	4	0	2	8	1	2	2	4	1	3	0	4	5	0	1	0.313725490196078	0.568627450980392	0.156862745098039	0.0392156862745098	0.549019607843137	0.431372549019608	0.294117647058824	0.215686274509804	0.0784313725490196	9.63999313350353	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000230485.1	1089683_uncultured^marine^crenarchaeote^'Gulf^of^Maine'@AGBE01001702.1-3$GCA_000230485.1	AGBE01001702.1-3		0	41	0	1	4	3	1	1	1	5	0	4	5	0	1	1	4	0	4	2	3	0	0	1	0.414634146341463	0.560975609756098	0.0975609756097561	0.0487804878048781	0.560975609756098	0.414634146341463	0.268292682926829	0.219512195121951	0.0487804878048781	10.0577269254711	1089683	uncultured^marine^crenarchaeote^'Gulf^of^Maine'	Scaffold	1
GCA_000234805.1	1104324_Pyrobaculum^ferrireducens@AET32748.1$GCA_000234805.1	AET32748.1		0	57	0	0	5	0	2	3	3	3	0	2	12	3	3	1	2	3	2	2	3	4	0	4	0.228070175438596	0.385964912280702	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	1104324	Pyrobaculum^ferrireducens	Complete Genome	1
GCA_000234805.1	1104324_Pyrobaculum^ferrireducens@AET32807.1$GCA_000234805.1	AET32807.1		0	57	0	0	5	0	2	3	3	3	0	2	12	3	3	1	2	3	2	2	3	4	0	4	0.228070175438596	0.385964912280702	0.157894736842105	0.12280701754386	0.508771929824561	0.491228070175439	0.333333333333333	0.245614035087719	0.087719298245614	9.99797012121326	1104324	Pyrobaculum^ferrireducens	Complete Genome	1
GCA_000234805.1	1104324_Pyrobaculum^ferrireducens@AET33462.1$GCA_000234805.1	AET33462.1		0	56	0	0	5	0	2	3	3	2	0	3	12	3	3	2	2	1	2	2	4	3	0	4	0.232142857142857	0.392857142857143	0.160714285714286	0.125	0.5	0.5	0.339285714285714	0.25	0.0892857142857143	9.99797012121326	1104324	Pyrobaculum^ferrireducens	Complete Genome	1
GCA_000234805.1	1104324_Pyrobaculum^ferrireducens@AET34003.1$GCA_000234805.1	AET34003.1		0	75	0	0	6	1	2	4	4	5	1	4	4	6	1	0	3	1	11	6	4	6	0	6	0.293333333333333	0.44	0.213333333333333	0.146666666666667	0.56	0.44	0.293333333333333	0.213333333333333	0.08	10.3303084035223	1104324	Pyrobaculum^ferrireducens	Complete Genome	1
GCA_000242875.3	1170320_Candidatus^Nitrosopumilus^salaria^BD31@EIJ64905.1$GCA_000242875.3	EIJ64905.1		0	47	0	0	2	4	1	2	1	6	0	5	6	0	2	1	3	0	4	2	5	1	0	2	0.404255319148936	0.531914893617021	0.127659574468085	0.0638297872340425	0.553191489361702	0.446808510638298	0.276595744680851	0.212765957446809	0.0638297872340425	9.69566485958924	1170320	Candidatus^Nitrosopumilus^salaria^BD31	Contig	1
GCA_000242875.3	1170320_Candidatus^Nitrosopumilus^salaria^BD31@EIJ65144.1$GCA_000242875.3	EIJ65144.1		0	52	0	0	3	4	2	2	2	4	0	3	7	1	3	3	3	2	4	0	4	4	0	1	0.288461538461538	0.519230769230769	0.153846153846154	0.0576923076923077	0.538461538461538	0.461538461538462	0.288461538461538	0.211538461538462	0.0769230769230769	9.6956719724608	1170320	Candidatus^Nitrosopumilus^salaria^BD31	Contig	1
GCA_000242875.3	1170320_Candidatus^Nitrosopumilus^salaria^BD31@EIJ65584.1$GCA_000242875.3	EIJ65584.1		0	115	0	0	1	4	4	13	3	4	3	10	19	7	2	7	3	6	7	12	5	4	0	1	0.226086956521739	0.382608695652174	0.182608695652174	0.0608695652173913	0.339130434782609	0.660869565217391	0.4	0.252173913043478	0.147826086956522	9.51348466413863	1170320	Candidatus^Nitrosopumilus^salaria^BD31	Contig	1
GCA_000246735.1	274854_uncultured^Candidatus^Poseidoniales^archaeon@EHR76729.1$GCA_000246735.1	EHR76729.1		0	50	0	0	2	4	1	2	2	7	0	4	7	2	3	1	1	1	2	4	4	2	0	1	0.42	0.52	0.16	0.06	0.56	0.44	0.24	0.18	0.06	9.50706898637947	274854	uncultured^Candidatus^Poseidoniales^archaeon	Chromosome	1
GCA_000253055.1	2271_Thermoproteus^tenax^Kra^1@CCC80984.1$GCA_000253055.1	CCC80984.1		0	56	0	0	6	0	2	3	3	3	0	4	11	2	2	1	2	2	2	1	5	3	1	3	0.267857142857143	0.410714285714286	0.160714285714286	0.125	0.517857142857143	0.482142857142857	0.321428571428571	0.232142857142857	0.0892857142857143	9.99767683765664	2271	Thermoproteus^tenax^Kra^1	Complete Genome	1
GCA_000253055.1	2271_Thermoproteus^tenax^Kra^1@CCC82051.1$GCA_000253055.1	CCC82051.1		0	55	0	0	5	0	2	3	3	3	0	4	10	2	2	1	3	2	2	1	5	3	1	3	0.254545454545455	0.418181818181818	0.163636363636364	0.127272727272727	0.527272727272727	0.472727272727273	0.309090909090909	0.218181818181818	0.0909090909090909	9.93093316750017	2271	Thermoproteus^tenax^Kra^1	Complete Genome	1
GCA_000253055.1	2271_Thermoproteus^tenax^Kra^1@CCC82092.1$GCA_000253055.1	CCC82092.1		0	71	0	0	5	1	3	4	4	5	0	6	4	5	1	2	2	2	7	5	5	6	0	4	0.295774647887324	0.47887323943662	0.23943661971831	0.112676056338028	0.549295774647887	0.450704225352113	0.253521126760563	0.154929577464789	0.0985915492957746	9.57530688042266	2271	Thermoproteus^tenax^Kra^1	Complete Genome	1
