Taxid	Assembly	Specie	assembly_level	RegionNb	GeneNb	tRNA	rRNA	Size	GC.content.avg	GC.content.med	Gene.GC.content.avg	Gene.GC.content.med	Gene.length.avg	Gene.length.med	Promoters.GC.content.avg	Promoters.GC.content.med	Intergenes.GC.content.avg	Intergenes.GC.content.med	Intergenes.length.avg	Intergenes.length.med	Intergenes.Convergent.GC.content.avg	Intergenes.Convergent.GC.content.med	Intergenes.Convergent.length.avg	Intergenes.Convergent.length.med	Intergenes.Convergent.nb	Intergenes.Divergent.GC.content.avg	Intergenes.Divergent.GC.content.med	Intergenes.Divergent.length.avg	Intergenes.Divergent.nb	Intergenes.Alignedpp.GC.content.avg	Intergenes.Alignedpp.GC.content.med	Intergenes.Alignedpp.length.avg	Intergenes.length.content.med	Intergenes.Alignedpp.nb	Intergenes.Alignedmm.GC.content.avg	Intergenes.Alignedmm.GC.content.med	Intergenes.Alignedmm.length.avg	Intergenes.Alignedmm.nb	Compaction	CompactionBp	ConvergentIntergeneProportion	AlignedIntergeneProportion	DivergentIntergeneProportion
2234	GCA_000008665.1	Archaeoglobus^fulgidus^DSM^4304	Complete Genome	1	2486	46	3	2178400	0.485816654425266	NA	0.491085277502151	0.49646992224216	815.95154723127	717	0.386195207270236	0.387096774193548	0.336927417482202	0.342857142857143	NA	NA	0.326591432869984	0.37037037037037	143.204419889503	36	181	0.348372266213373	0.341772151898734	102.5	336	0.336925763363701	0.338290579389651	38	NA	542	0.333494792392403	0.341463414634146	39	575	0.00114120455380095	0.0267668931325744	0.0118986412045538	0.0109571244950422	0.0158097686375321
311400	GCA_000009965.1	Thermococcus^kodakarensis^KOD1	Complete Genome	1	2306	46	5	2088737	0.519954881825716	NA	0.523940522537279	0.53011026293469	833.401301518438	708	0.44017094017094	0.435483870967742	0.39245252993046	0.408029001074114	NA	NA	0.393041186184271	0.4	113.936893203883	42	206	0.414262785730074	0.411077027948194	121.5	350	0.387472627117029	0.4	44	NA	576	0.384253824061982	0.409737309895319	43	596	0.00110401644630224	0.0335556846074925	0.0112369340898351	0.0131964914682892	0.0203591931392033
570267	GCA_000011005.1	Methanocella^paludicola^SANAE	Complete Genome	1	3066	48	8	2957635	0.549168846054364	NA	0.566457081101748	0.578947368421053	845.672762900065	726	0.406129502492241	0.403225806451613	0.381618273821089	0.38961038961039	NA	NA	0.415225501627682	0.427785419532325	175.320366132723	44	437	0.378292384342096	0.382978723404255	153	519	0.372494248059229	0.37962962962963	66	NA	845	0.375520224874386	0.387755102040816	55	861	0.00103663907142024	0.0443320423243571	0.0259041430061519	0.0174839018337286	0.0268481404906285
2238	GCA_000011085.1	Haloarcula^marismortui^ATCC^43049	Complete Genome	9	4301	50	10	4274642	0.576415986073323	NA	0.572691334509702	0.588414634146341	631.083333333333	444	0.536558553487881	0.548387096774194	0.524597273685666	0.548387096774194	NA	NA	0.581559554706639	0.586101926205847	178.848870056497	50	708	0.527420306458553	0.5334451901566	172	760	0.505781478380782	0.543988648090815	86	NA	1054	0.503899877324701	0.543110314615691	88	1094	0.00100616613040343	0.0548321941346199	0.0296223636973575	0.0242518554770201	0.0305803386575999
53953	GCA_000011105.1	Pyrococcus^horikoshii^OT3	Complete Genome	1	2120	46	3	1738505	0.418789707248469	NA	0.428975021865039	0.422360248447205	816.147603227337	684	0.375951820573169	0.370967741935484	0.363828936893045	0.366548042704626	NA	NA	0.383347211446145	0.386986301369863	339.487684729064	177	203	0.353993028829828	0.35320774835614	120.5	300	0.368646055048283	0.371191135734072	55	NA	383	0.356946060823717	0.362962962962963	44	415	0.00121943854058516	0.0330370059332587	0.0396409558787579	0.0122432779888467	0.020793727944412
56636	GCA_000011125.1	Aeropyrum^pernix^K1	Complete Genome	3	1770	47	3	1669696	0.563112686381233	NA	0.568966461545874	0.568532727100502	6641.65979381443	729	0.51657974373833	0.516129032258065	0.536046980738973	0.531447784810127	NA	NA	0.553986714501052	0.54	132.663366336634	68.5	202	0.501450409171298	0.505050505050505	165	295	0.557333908603512	0.55	62	NA	391	0.532711681117305	0.533333333333333	62	522	0.00106007321093181	0.0508373979454943	0.0160496281957914	0.0216853846448695	0.0291520133006248
50339	GCA_000011185.1	Thermoplasma^volcanium^GSS1	Complete Genome	1	1526	46	3	1584804	0.399185009628951	NA	0.40568766142204	0.410047375528547	894.247706422018	774	0.309733387605576	0.306451612903226	0.280826572653744	0.288590604026846	NA	NA	0.26057605577974	0.292372881355932	168.314720812183	30	197	0.290591108540826	0.289578313253012	159	256	0.2771232689131	0.287078986587183	62	NA	380	0.288531056851963	0.290247733276219	69	376	0.000962895096175931	0.0444799483090653	0.0209224610740508	0.0187960151539244	0.025683933155141
111955	GCA_000011205.1	Sulfurisphaera^tokodaii^str.^7	Complete Genome	1	2890	46	3	2694756	0.3278671612569	NA	0.338185907262844	0.330854984337571	11996.8826638478	672	0.269218776574636	0.258064516129032	0.245384703584555	0.249609984399376	NA	NA	0.273267853020659	0.266666666666667	286.02641509434	183	265	0.244353625710738	0.245384853647205	120.5	506	0.237744360209395	0.238095238095238	53	NA	614	0.242036798409066	0.25	50	650	0.00107245331302723	0.0357293944238365	0.0281275929991436	0.0131028560656327	0.0226265383582039
39152	GCA_000011585.1	Methanococcus^maripaludis^S2	Complete Genome	1	1773	38	10	1661137	0.331003403090775	NA	0.344131352273903	0.339736755781532	3331.28872437358	744	0.26177245091585	0.258064516129032	0.217302202700073	0.217391304347826	NA	NA	0.11297861936597	0.09375	72.5397489539749	38	239	0.233946572434674	0.229501800720288	171	248	0.237373160450055	0.229166666666667	42	NA	619	0.232513835867823	0.222222222222222	51	551	0.00106734122471536	0.0435081513445309	0.0104368273056346	0.0179786495635219	0.025529501781009
2285	GCA_000012285.1	Sulfolobus^acidocaldarius^DSM^639	Complete Genome	1	2328	48	2	2225959	0.367075943447296	NA	0.377582461013892	0.371559633027523	4549.39256017505	720	0.284289450741064	0.274193548387097	0.271475667027923	0.275	NA	NA	0.310279576645445	0.314623172103487	216.164179104478	91	268	0.26547361043525	0.265120192307692	133.5	422	0.261173037311136	0.272727272727273	65	NA	490	0.266013862116756	0.267823435458109	58	516	0.00104584136545192	0.0406521413916429	0.0260256365907908	0.01534304989445	0.0253090914971929
2317	GCA_000012545.1	Methanosphaera^stadtmanae^DSM^3091	Complete Genome	1	1586	40	12	1767403	0.276337088937837	NA	0.299109935700906	0.293260340632603	950.395334174023	777	0.203060655456417	0.193548387096774	0.184863909402092	0.169620253164557	NA	NA	0.181159750978734	0.181662515566625	157.383177570093	66	214	0.152457764523274	0.148148148148148	265	231	0.186097343536343	0.170731707317073	65	NA	507	0.19916887811899	0.181538461538462	72	535	0.000897361835416145	0.0588207669671263	0.0190562084595307	0.024185202808867	0.0346355641582593
2203	GCA_000013445.1	Methanospirillum^hungatei^JF-1	Complete Genome	1	3205	51	14	3544738	0.451490349921489	NA	0.46030769642768	0.46594982078853	959.190639625585	780	0.386912136084243	0.387096774193548	0.336614906049538	0.36026936026936	NA	NA	0.306805488989502	0.345195729537367	202.867276887872	40	437	0.366148541901777	0.368421052631579	163.5	512	0.332215106725572	0.354838709677419	59	NA	846	0.338557297370499	0.365897244973939	60	838	0.000904157091440891	0.0387822738944317	0.0250097468416566	0.0151664241475675	0.0236158497468642
29291	GCA_000013725.1	Methanococcoides^burtonii^DSM^6242	Complete Genome	1	2341	52	12	2575032	0.407580954333771	NA	0.423013142871144	0.428571428571429	4360.65206185567	780	0.334060140093902	0.338709677419355	0.303967862810707	0.311827956989247	NA	NA	0.317528626573462	0.320541760722348	262.253918495298	97	319	0.305625610716673	0.305084745762712	263	339	0.299810890511192	0.311320754716981	74	NA	737	0.301391349257461	0.317069687738005	70.5	708	0.000909114915853473	0.0561340596932388	0.0324885282979008	0.0215104122977889	0.0346236473954498
2224	GCA_000014945.1	Methanothrix^thermoacetophila^PT	Complete Genome	1	1738	35	6	1879471	0.535452794961987	NA	0.547647148165961	0.550189393939394	892.042358328563	774	0.472550457133	0.483870967741935	0.45526575807229	0.476190476190476	NA	NA	0.505418464715371	0.511961722488038	264.604255319149	143	235	0.454280670822915	0.460849529152474	313	264	0.453837435884925	0.479955357142857	73.5	NA	428	0.43505371894063	0.473684210526316	58	540	0.000924728287906544	0.06350417218462	0.0330848414261247	0.0195386095342785	0.0439655626503415
54248	GCA_000015145.1	Hyperthermus^butylicus^DSM^5456	Complete Genome	1	1654	46	4	1667163	0.537367371996619	NA	0.542795032353458	0.538860103626943	1423.94494857834	717	0.531092890279426	0.532258064516129	0.539785640405563	0.533333333333333	NA	NA	0.533783261883877	0.522819683013858	246.762376237624	135.5	202	0.526638999300951	0.524142524142524	180.5	308	0.545556865176705	0.540540540540541	90	NA	447	0.545993761815055	0.538461538461538	93	432	0.000992104551264633	0.0623034460337711	0.0298986961682811	0.0289569766123648	0.0333464694214063
2277	GCA_000015205.1	Pyrobaculum^islandicum^DSM^4184	Complete Genome	1	2019	38	3	1826402	0.49599047745239	NA	0.494555957017976	0.474483368719038	790.639684106614	684	0.39921599138189	0.387096774193548	0.401169266619384	0.399731903485255	NA	NA	0.496846308392666	0.5	215.056994818653	131	193	0.379531976480424	0.363636363636364	90	386	0.390385020813936	0.408045977011494	45	NA	441	0.387907329321359	0.382507947130668	41.5	404	0.00110545214032836	0.0293095386448328	0.0227255554910693	0.010288534506642	0.0190210041381908
2269	GCA_000015225.1	Thermofilum^pendens^Hrk^5	Complete Genome	2	1908	24	3	1813393	0.571038417366405	NA	0.580040686958511	0.578051381242871	869.142167381974	769.5	0.491901291494891	0.5	0.517525829201623	0.50904304029304	NA	NA	0.572572717096422	0.570416835289356	91.6891891891892	27.5	222	0.483927865226818	0.488372093023256	126	337	0.503780097151748	0.505747126436782	48	NA	463	0.528160807189866	0.516701282205325	51.5	514	0.00105217126127651	0.0392838176832049	0.0112248144776119	0.0158680440478153	0.0234157736353896
83984	GCA_000015765.1	Methanocorpusculum^labreanum^Z	Complete Genome	1	1793	43	9	1804962	0.500065929365826	NA	0.511177691298758	0.515772017107445	882.785238623751	771	0.401081865558414	0.403225806451613	0.330461831485535	0.35377358490566	NA	NA	0.350215096773111	0.370629370629371	172.048888888889	63	225	0.370883902773812	0.376278118609407	138	251	0.313252071768669	0.344262295081967	50	NA	455	0.317206961070068	0.342112459476383	54.5	510	0.000993372713663778	0.035974718581333	0.0214469889116779	0.0167842868714134	0.0191904317099197
181486	GCA_000015805.1	Pyrobaculum^calidifontis^JCM^11548	Complete Genome	1	2165	12	3	2009313	0.571508271732677	NA	0.573263538971861	0.575757575757576	841.115402298851	723	0.46498475552377	0.467741935483871	0.460550736301632	0.475247524752475	NA	NA	0.562968795811543	0.546875	177.12101910828	88	157	0.443351544255764	0.44746276889134	78.5	390	0.453658399608127	0.468417553191489	37	NA	452	0.447570208791874	0.472953216374269	36	482	0.00107748270179907	0.0245536658549464	0.0138395561069878	0.00931711485467919	0.0152365510002673
2198	GCA_000015825.1	Methanoculleus^marisnigri^JR1	Complete Genome	1	2538	44	3	2478101	0.620628860567023	NA	0.623428085622534	0.632849111480191	855.715184893784	738	0.521286441462286	0.532258064516129	0.50192877580215	0.537634408602151	NA	NA	0.557827418201128	0.58378582912738	176.224852071006	79.5	338	0.514190298642108	0.532704576976422	175	400	0.483024530240297	0.526785714285714	59	NA	727	0.48606921153816	0.521739130434783	52	634	0.00102417133119272	0.0429558762939848	0.0240361470335551	0.0147084400514749	0.0282474362425099
2280	GCA_000015945.1	Staphylothermus^marinus^F1	Complete Genome	1	1606	31	3	1570485	0.357265430742732	NA	0.368390780308274	0.361111111111111	853.57213622291	729	0.312409183376925	0.306451612903226	0.288402024718295	0.285714285714286	NA	NA	0.274337033786263	0.27903743315508	147.514018691589	29	214	0.294467581537231	0.288659793814433	155	281	0.292854982206514	0.285714285714286	59	NA	581	0.284129752360556	0.285714285714286	54.5	300	0.00102261403324451	0.0403607802685158	0.0201007968875857	0.0126273093980522	0.0277334708704636
39152	GCA_000016125.1	Methanococcus^maripaludis^C5	Complete Genome	2	1866	33	10	1789046	0.301223178209032	NA	0.342986533803349	0.338476043881642	837.874731182796	720	0.265879987683614	0.258064516129032	0.223575922750943	0.225806451612903	NA	NA	0.116158868360239	0.1	103.245833333333	35.5	240	0.240457341963699	0.236180904522613	171	257	0.236955045229114	0.230769230769231	49	NA	577	0.243462610643966	0.234042553191489	41.5	690	0.00104301398622506	0.0419122817412185	0.0138503984805309	0.0173477931813939	0.0245644885598246
121277	GCA_000016385.1	Pyrobaculum^arsenaticum^DSM^13514	Complete Genome	1	2342	40	3	2121076	0.550508798364604	NA	0.554221121620753	0.556521739130435	789.389244558259	663	0.440270441219208	0.435483870967742	0.44758417424702	0.456984273820537	NA	NA	0.532206240421732	0.535398230088496	240.83257918552	121	221	0.425576663264738	0.42754219843557	91	422	0.441425396824584	0.44854737985338	47.5	NA	522	0.435685085618274	0.457446808510638	49	521	0.00110415656959015	0.0312045631556814	0.0250929245345287	0.0130996013344171	0.0181049618212643
2173	GCA_000016525.1	Methanobrevibacter^smithii^ATCC^35061	Complete Genome	1	1837	34	8	1853160	0.310342334175139	NA	0.324280055866364	0.32398753894081	917.455089820359	738	0.224376337772053	0.209677419354839	0.194625098064294	0.18348623853211	NA	NA	0.206458435151205	0.2	95.2692307692308	29	182	0.17324536681223	0.170241518113859	166	254	0.19304781355099	0.18784594095941	25.5	NA	518	0.200672096241691	0.188775510204082	35	677	0.000991279759977552	0.0358896425564981	0.00935645060329384	0.0131371549137689	0.0227524876427292
43687	GCA_000016605.1	Metallosphaera^sedula^DSM^5348	Complete Genome	1	2298	38	2	2191517	0.462253315853813	NA	0.468740167235466	0.469135802469136	841.21416159861	726	0.360023986313692	0.354838709677419	0.34476847298759	0.35	NA	NA	0.384223480519006	0.403599658192694	153.447154471545	63.5	246	0.335721002020352	0.333704528582034	141	408	0.337113845210074	0.346870061155775	45	NA	588	0.341206961070141	0.35	55	425	0.00104858871731317	0.0378404548082447	0.0172245983033671	0.011590145091277	0.0262503097169677
2187	GCA_000017165.1	Methanococcus^vannielii^SB	Complete Genome	1	1726	33	13	1720048	0.313283117680437	NA	0.328406171732918	0.321381142098274	865.063620589936	759	0.248222574769375	0.241935483870968	0.212084272798351	0.204918032786885	NA	NA	0.137179241392014	0.123809523809524	139.669527896996	55	233	0.215691234564421	0.213736911448582	190	244	0.228126034369896	0.215459031294637	51	NA	620	0.224379043619127	0.211111111111111	58	539	0.00100346036854785	0.0466399774890003	0.0189198208422091	0.0196872412862897	0.0269527362027106
42879	GCA_000017185.1	Methanococcus^aeolicus^Nankai-3	Complete Genome	1	1533	34	8	1569500	0.300374641605607	NA	0.319800823257483	0.313308270676692	868.721354166667	768	0.216709150039553	0.209677419354839	0.191963798151343	0.192622950819672	NA	NA	0.170492704124448	0.176470588235294	132.979695431472	72	197	0.193036793547389	0.189908775899866	258.5	204	0.194327599346612	0.194444444444444	88	NA	526	0.197146485480543	0.195547619047619	92.5	534	0.000976744186046512	0.0700050971647021	0.016691302962727	0.0364058617394075	0.0335992354252947
39152	GCA_000017225.1	Methanococcus^maripaludis^C7	Complete Genome	1	1832	33	10	1772694	0.332844247230486	NA	0.346062874816775	0.342105263157895	849.373297002725	738	0.265025563688528	0.258064516129032	0.219658773264881	0.21978021978022	NA	NA	0.112003328549208	0.0958904109589041	108.570281124498	34	249	0.235162896145692	0.230550962418327	171.5	258	0.238103710920469	0.227272727272727	40	NA	639	0.238055813113015	0.222222222222222	51	599	0.00103345529459681	0.0430959883657304	0.0152502349531278	0.0181356737259787	0.0249603146397517
358766	GCA_000017625.1	Methanoregula^boonei^6A8	Complete Genome	1	2499	43	3	2542943	0.545136088382634	NA	0.552581134646359	0.559757942511346	878.32281262485	744	0.464975662847296	0.467741935483871	0.441616812554169	0.463652091852784	NA	NA	0.46140031315129	0.476114407424312	181.807486631016	86	374	0.446851304923796	0.454785954785955	177.5	396	0.435507452257364	0.464285714285714	76	NA	657	0.433648873157534	0.461538461538462	75	685	0.000982719628399064	0.0501155550871569	0.0267390971799211	0.0224743535344677	0.0276412015526891
160233	GCA_000017945.1	Ignicoccus^hospitalis^KIN4/I	Complete Genome	1	1482	42	4	1297538	0.565203485369985	NA	0.567998915284802	0.566550116550117	815.745956873315	703.5	0.548946409989594	0.548387096774194	0.546840952446414	0.558823529411765	NA	NA	0.529216319986564	0.552631578947368	171.266666666667	48	105	0.556697507043529	0.554886211512718	81	296	0.557698936790099	0.571428571428571	37	NA	325	0.532612473610007	0.552631578947368	39	323	0.00114216308115832	0.0292415328105998	0.0138593243511944	0.0107634612627915	0.0184780715478082
76887	GCA_000018305.1	Caldivirga^maquilingensis^IC-167	Complete Genome	1	2005	39	3	2077567	0.430958423964185	NA	0.441143340042186	0.438437081338179	904.988047808765	825	0.354312083831694	0.354838709677419	0.34349966817107	0.346153846153846	NA	NA	0.352893263937733	0.357142857142857	154.707547169811	52	318	0.347270877847797	0.347883827010797	145	422	0.337196419811661	0.34375	72	NA	477	0.340265173376957	0.341186252771619	75	486	0.000965071162566598	0.0494925073415202	0.0236801027355555	0.0200397869238393	0.0294527204176809
342948	GCA_000018365.1	Thermococcus^onnurineus^NA1	Complete Genome	1	2027	46	5	1847607	0.512727003091025	NA	0.522604209961702	0.52422480620155	829.490873211643	723	0.440838334583646	0.435483870967742	0.391430737892483	0.407407407407407	NA	NA	0.39658300680998	0.407864956620143	151.673076923077	52.5	208	0.412760425319882	0.411764705882353	120	314	0.387493927759544	0.407689880075742	43.5	NA	624	0.38007897664443	0.400242718446602	43	468	0.00109709478260258	0.0323100367123528	0.01707505979356	0.0119160892982111	0.0203939474141416
338192	GCA_000018465.1	Nitrosopumilus^maritimus^SCM1	Complete Genome	1	1834	34	4	1645259	0.341675079729088	NA	0.348500734040258	0.345029239766082	812.794885745375	666	0.290489162387802	0.290322580645161	0.249736659730786	0.264441972562106	NA	NA	0.231248019149015	0.25	84.1798245614035	15	228	0.271880880053623	0.274189814814815	105	360	0.242350125485962	0.260869565217391	46	NA	407	0.24829120727234	0.263157894736842	45	519	0.00111471810821275	0.0384565591192633	0.0116656404857837	0.0154814530721303	0.022975106047133
39152	GCA_000018485.1	Methanococcus^maripaludis^C6	Complete Genome	1	1871	33	10	1744193	0.334231934195356	NA	0.345981680103774	0.342732470089353	824.270544290288	703.5	0.266892563477004	0.258064516129032	0.221287830144679	0.222222222222222	NA	NA	0.114656549195001	0.0921212121212121	96.0609756097561	37	246	0.238104349245806	0.233842181210602	171.5	264	0.237101082251532	0.224744897959184	46	NA	594	0.239988678288649	0.230769230769231	40	663	0.0010727023901598	0.0423760443941697	0.0135483859871012	0.0164179078806072	0.0259581365135624
498846	GCA_000019605.1	Candidatus^Korarchaeum^cryptofilum^OPF8	Complete Genome	1	1651	45	3	1590757	0.49000695895099	NA	0.500815975411963	0.49789029535865	871.267110841914	774	0.445940255912419	0.451612903225806	0.384446639041346	0.409836065573771	NA	NA	0.332503450838404	0.391304347826087	176.482993197279	58	147	0.415559664642186	0.416666666666667	108	285	0.380332018812934	0.404860291223928	38	NA	462	0.386375719488375	0.415384615384615	45	347	0.00103787064900547	0.0300731035601289	0.0163085876724101	0.0107238251976889	0.01934927836244
70771	GCA_000019805.1	Pyrobaculum^neutrophilum^V24Sta	Complete Genome	1	2000	29	4	1769823	0.599106238307447	NA	0.602344876001932	0.604777415852334	796.43106022897	687	0.493193630888541	0.5	0.497000665902993	0.504504504504504	NA	NA	0.618487868151724	0.617552866397751	200.194029850746	85.5	134	0.47154000199827	0.478260869565217	75	359	0.489720106239318	0.501434329065908	38	NA	448	0.487258917083377	0.5	33	398	0.00113005650847571	0.0234503676356336	0.0151574479481846	0.00823698189027942	0.0152133857453542
94694	GCA_000020905.1	Desulfurococcus^amylolyticus^1221n	Complete Genome	1	1521	47	3	1365223	0.453391130972742	NA	0.463700884776983	0.452751817237799	798.60815253123	699	0.383918701638026	0.370967741935484	0.39780628484176	0.393333333333333	NA	NA	0.408031036517735	0.422238027501185	160.558823529412	51	204	0.364072307394425	0.363095238095238	133	261	0.413686380441396	0.403620196887901	36.5	NA	276	0.402612483167595	0.398267586620669	45	486	0.00111410370320453	0.0424218241269009	0.0239916848749252	0.0169952088413395	0.0254266152855614
475088	GCA_000021965.1	Methanosphaerula^palustris^E1-9c	Complete Genome	1	2725	55	12	2922917	0.553536757971574	NA	0.56102141371776	0.569395017793594	910.429357798165	756	0.455781788627	0.451612903225806	0.417952866562313	0.441340782122905	NA	NA	0.432927578296702	0.454545454545455	237.648571428571	122.5	350	0.426476854696301	0.431141868512111	184	409	0.408415308780385	0.44125862635557	67	NA	758	0.415889517450556	0.443552417843309	64.5	726	0.000932287848064109	0.0433033165156588	0.0284568463627259	0.0175564342059662	0.0257468823096927
2247	GCA_000022205.1	Halorubrum^lacusprofundi^ATCC^49239	Complete Genome	3	3621	51	9	3692576	0.595748549335743	NA	0.670990580704629	0.676791332529037	861.3125	753	0.568220836721785	0.580645161290323	0.559200199134108	0.587301587301587	NA	NA	0.606504775690108	0.613484848484848	182.417431192661	64.5	654	0.570306724914026	0.580600358422939	165.5	672	0.539849825871677	0.583333333333333	92	NA	953	0.537409945124686	0.576079470198676	90	916	0.000980616241886423	0.0547368557884794	0.0323083397606441	0.0246180444221053	0.030118811366374
